"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"5.1.1.1","Automóvel para uso particular","Marco","668","domicílios",1
"5.1.1.1","Automóvel para uso particular","Martinópole","158","domicílios",1
"5.1.1.1","Automóvel para uso particular","Massapê","675","domicílios",1
"5.1.1.1","Automóvel para uso particular","Mauriti","1357","domicílios",1
"5.1.1.1","Automóvel para uso particular","Meruoca","277","domicílios",1
"5.1.1.1","Automóvel para uso particular","Milagres","881","domicílios",1
"5.1.1.1","Automóvel para uso particular","Milhã","316","domicílios",1
"5.1.1.1","Automóvel para uso particular","Miraíma","145","domicílios",1
"5.1.1.1","Automóvel para uso particular","Missão Velha","1057","domicílios",1
"5.1.1.1","Automóvel para uso particular","Mombaça","1007","domicílios",1
"5.1.1.1","Automóvel para uso particular","Monsenhor Tabosa","492","domicílios",1
"5.1.1.1","Automóvel para uso particular","Morada Nova","2436","domicílios",1
"5.1.1.1","Automóvel para uso particular","Moraújo","144","domicílios",1
"5.1.1.1","Automóvel para uso particular","Morrinhos","493","domicílios",1
"5.1.1.1","Automóvel para uso particular","Mucambo","265","domicílios",1
"5.1.1.1","Automóvel para uso particular","Mulungu","198","domicílios",1
"5.1.1.1","Automóvel para uso particular","Nova Olinda","416","domicílios",1
"5.1.1.1","Automóvel para uso particular","Nova Russas","1201","domicílios",1
"5.1.1.1","Automóvel para uso particular","Novo Oriente","760","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ocara","715","domicílios",1
"5.1.1.1","Automóvel para uso particular","Orós","516","domicílios",1
"5.1.1.1","Automóvel para uso particular","Pacajus","3250","domicílios",1
"5.1.1.1","Automóvel para uso particular","Pacatuba","2714","domicílios",1
"5.1.1.1","Automóvel para uso particular","Pacoti","258","domicílios",1
"5.1.1.1","Automóvel para uso particular","Pacujá","144","domicílios",1
"5.1.1.1","Automóvel para uso particular","Palhano","364","domicílios",1
"5.1.1.1","Automóvel para uso particular","Palmácia","266","domicílios",1
"5.1.1.1","Automóvel para uso particular","Paracuru","1136","domicílios",1
"5.1.1.1","Automóvel para uso particular","Paraipaba","1154","domicílios",1
"5.1.1.1","Automóvel para uso particular","Parambu","795","domicílios",1
"5.1.1.1","Automóvel para uso particular","Paramoti","206","domicílios",1
"5.1.1.1","Automóvel para uso particular","Pedra Branca","904","domicílios",1
"5.1.1.1","Automóvel para uso particular","Penaforte","348","domicílios",1
"5.1.1.1","Automóvel para uso particular","Pentecoste","1127","domicílios",1
"5.1.1.1","Automóvel para uso particular","Pereiro","267","domicílios",1
"5.1.1.1","Automóvel para uso particular","Pindoretama","701","domicílios",1
"5.1.1.1","Automóvel para uso particular","Piquet Carneiro","338","domicílios",1
"5.1.1.1","Automóvel para uso particular","Pires Ferreira","245","domicílios",1
"5.1.1.1","Automóvel para uso particular","Poranga","266","domicílios",1
"5.1.1.1","Automóvel para uso particular","Porteiras","545","domicílios",1
"5.1.1.1","Automóvel para uso particular","Potengi","247","domicílios",1
"5.1.1.1","Automóvel para uso particular","Potiretama","243","domicílios",1
"5.1.1.1","Automóvel para uso particular","Quiterianópolis","373","domicílios",1
"5.1.1.1","Automóvel para uso particular","Quixadá","3241","domicílios",1
"5.1.1.1","Automóvel para uso particular","Quixelô","364","domicílios",1
"5.1.1.1","Automóvel para uso particular","Quixeramobim","2119","domicílios",1
"5.1.1.1","Automóvel para uso particular","Quixeré","584","domicílios",1
"5.1.1.1","Automóvel para uso particular","Redenção","745","domicílios",1
"5.1.1.1","Automóvel para uso particular","Reriutaba","477","domicílios",1
"5.1.1.1","Automóvel para uso particular","Russas","3050","domicílios",1
"5.1.1.1","Automóvel para uso particular","Saboeiro","398","domicílios",1
"5.1.1.1","Automóvel para uso particular","Salitre","335","domicílios",1
"5.1.1.1","Automóvel para uso particular","Santana do Acaraú","496","domicílios",1
"5.1.1.1","Automóvel para uso particular","Santana do Cariri","470","domicílios",1
"5.1.1.1","Automóvel para uso particular","Santa Quitéria","1091","domicílios",1
"5.1.1.1","Automóvel para uso particular","São Benedito","1767","domicílios",1
"5.1.1.1","Automóvel para uso particular","São Gonçalo do Amarante","1709","domicílios",1
"5.1.1.1","Automóvel para uso particular","São João do Jaguaribe","317","domicílios",1
"5.1.1.1","Automóvel para uso particular","São Luís do Curu","329","domicílios",1
"5.1.1.1","Automóvel para uso particular","Senador Pompeu","664","domicílios",1
"5.1.1.1","Automóvel para uso particular","Senador Sá","149","domicílios",1
"5.1.1.1","Automóvel para uso particular","Sobral","9079","domicílios",1
"5.1.1.1","Automóvel para uso particular","Solonópole","442","domicílios",1
"5.1.1.1","Automóvel para uso particular","Tabuleiro do Norte","1415","domicílios",1
"5.1.1.1","Automóvel para uso particular","Tamboril","699","domicílios",1
"5.1.1.1","Automóvel para uso particular","Tarrafas","167","domicílios",1
"5.1.1.1","Automóvel para uso particular","Tauá","1773","domicílios",1
"5.1.1.1","Automóvel para uso particular","Tejuçuoca","316","domicílios",1
"5.1.1.1","Automóvel para uso particular","Tianguá","3360","domicílios",1
"5.1.1.1","Automóvel para uso particular","Trairi","1272","domicílios",1
"5.1.1.1","Automóvel para uso particular","Tururu","301","domicílios",1
"5.1.1.1","Automóvel para uso particular","Ubajara","1367","domicílios",1
"5.1.1.1","Automóvel para uso particular","Umari","252","domicílios",1
"5.1.1.1","Automóvel para uso particular","Umirim","401","domicílios",1
"5.1.1.1","Automóvel para uso particular","Uruburetama","357","domicílios",1
"5.1.1.1","Automóvel para uso particular","Uruoca","184","domicílios",1
"5.1.1.1","Automóvel para uso particular","Varjota","708","domicílios",1
"5.1.1.1","Automóvel para uso particular","Várzea Alegre","1112","domicílios",1
"5.1.1.1","Automóvel para uso particular","Viçosa do Ceará","1291","domicílios",1
"5.1.1.2","Geladeira","Abaiara","2152","domicílios",1
"5.1.1.2","Geladeira","Acarape","3391","domicílios",1
"5.1.1.2","Geladeira","Acaraú","11355","domicílios",1
"5.1.1.2","Geladeira","Acopiara","12521","domicílios",1
"5.1.1.2","Geladeira","Aiuaba","3359","domicílios",1
"5.1.1.2","Geladeira","Alcântaras","2358","domicílios",1
"5.1.1.2","Geladeira","Altaneira","1639","domicílios",1
"5.1.1.2","Geladeira","Alto Santo","4222","domicílios",1
"5.1.1.2","Geladeira","Amontada","6915","domicílios",1
"5.1.1.2","Geladeira","Antonina do Norte","1691","domicílios",1
"5.1.1.2","Geladeira","Apuiarés","3052","domicílios",1
"5.1.1.2","Geladeira","Aquiraz","17503","domicílios",1
"5.1.1.2","Geladeira","Aracati","17316","domicílios",1
"5.1.1.2","Geladeira","Aracoiaba","5763","domicílios",1
"5.1.1.2","Geladeira","Ararendá","2652","domicílios",1
"5.1.1.2","Geladeira","Araripe","3719","domicílios",1
"5.1.1.2","Geladeira","Aratuba","2077","domicílios",1
"5.1.1.2","Geladeira","Arneiroz","1800","domicílios",1
"5.1.1.2","Geladeira","Assaré","5299","domicílios",1
"5.1.1.2","Geladeira","Aurora","6186","domicílios",1
"5.1.1.2","Geladeira","Baixio","1537","domicílios",1
"5.1.1.2","Geladeira","Banabuiú","3851","domicílios",1
"5.1.1.2","Geladeira","Barbalha","12872","domicílios",1
"5.1.1.2","Geladeira","Barreira","4714","domicílios",1
"5.1.1.2","Geladeira","Barro","5425","domicílios",1
